Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
2/28/2020,4,5.4,23,Dallas,32.820061,-96.860117
2/29/2020,4,6.9,29,Dallas,32.820061,-96.860117
3/1/2020,4,4.5,19,Dallas,32.820061,-96.860117
3/2/2020,4,8.1,34,Dallas,32.820061,-96.860117
3/3/2020,4,12.7,52,Dallas,32.820061,-96.860117
3/4/2020,4,6.8,28,Dallas,32.820061,-96.860117
3/5/2020,4,4.4,18,Dallas,32.820061,-96.860117
3/6/2020,4,5.3,22,Dallas,32.820061,-96.860117
3/7/2020,4,8.3,35,Dallas,32.820061,-96.860117
3/8/2020,4,9.5,40,Dallas,32.820061,-96.860117
3/9/2020,4,4.9,20,Dallas,32.820061,-96.860117
3/10/2020,4,5.6,23,Dallas,32.820061,-96.860117
3/11/2020,4,10.1,42,Dallas,32.820061,-96.860117
3/12/2020,4,10,42,Dallas,32.820061,-96.860117
3/13/2020,4,6.5,27,Dallas,32.820061,-96.860117
3/14/2020,4,5.3,22,Dallas,32.820061,-96.860117
3/15/2020,4,3.8,16,Dallas,32.820061,-96.860117
3/16/2020,4,10.2,43,Dallas,32.820061,-96.860117
3/17/2020,4,17.7,63,Dallas,32.820061,-96.860117
3/18/2020,4,7.2,30,Dallas,32.820061,-96.860117
3/19/2020,4,9,38,Dallas,32.820061,-96.860117
3/20/2020,4,2.9,12,Dallas,32.820061,-96.860117
3/21/2020,4,5.2,22,Dallas,32.820061,-96.860117
3/22/2020,4,5.4,23,Dallas,32.820061,-96.860117
3/23/2020,4,8.8,37,Dallas,32.820061,-96.860117
3/24/2020,4,5.7,24,Dallas,32.820061,-96.860117
3/25/2020,4,9.6,40,Dallas,32.820061,-96.860117
3/26/2020,4,15,57,Dallas,32.820061,-96.860117
3/27/2020,4,15.5,58,Dallas,32.820061,-96.860117
3/28/2020,4,6.7,28,Dallas,32.820061,-96.860117
3/29/2020,4,5.1,21,Dallas,32.820061,-96.860117
3/30/2020,4,5.8,24,Dallas,32.820061,-96.860117
3/31/2020,4,3,13,Dallas,32.820061,-96.860117
4/1/2020,4,10.4,43,Dallas,32.820061,-96.860117
4/2/2020,4,12.3,51,Dallas,32.820061,-96.860117
4/3/2020,4,7.1,30,Dallas,32.820061,-96.860117
4/4/2020,4,9,38,Dallas,32.820061,-96.860117
4/5/2020,4,12.5,52,Dallas,32.820061,-96.860117
4/6/2020,4,19.4,66,Dallas,32.820061,-96.860117
4/7/2020,4,11.7,49,Dallas,32.820061,-96.860117
4/8/2020,4,14.2,55,Dallas,32.820061,-96.860117
4/9/2020,4,15,57,Dallas,32.820061,-96.860117
4/10/2020,4,12.9,53,Dallas,32.820061,-96.860117
4/11/2020,4,13,53,Dallas,32.820061,-96.860117
4/12/2020,4,10.2,43,Dallas,32.820061,-96.860117
4/13/2020,4,8.6,36,Dallas,32.820061,-96.860117
4/14/2020,4,8.2,34,Dallas,32.820061,-96.860117
4/15/2020,4,10.3,43,Dallas,32.820061,-96.860117
4/16/2020,4,11.7,49,Dallas,32.820061,-96.860117
4/17/2020,4,12.8,52,Dallas,32.820061,-96.860117
4/18/2020,4,12.2,51,Dallas,32.820061,-96.860117
4/19/2020,4,14.7,56,Dallas,32.820061,-96.860117
4/20/2020,4,11.1,46,Dallas,32.820061,-96.860117
4/21/2020,4,17.4,62,Dallas,32.820061,-96.860117
4/22/2020,4,10.2,43,Dallas,32.820061,-96.860117
4/23/2020,4,8.9,37,Dallas,32.820061,-96.860117
4/24/2020,4,10.3,43,Dallas,32.820061,-96.860117
4/25/2020,4,8.9,37,Dallas,32.820061,-96.860117
4/26/2020,4,13.9,55,Dallas,32.820061,-96.860117
4/27/2020,4,13.2,53,Dallas,32.820061,-96.860117
4/28/2020,4,16.1,59,Dallas,32.820061,-96.860117
4/29/2020,4,7.8,33,Dallas,32.820061,-96.860117
4/30/2020,4,11.8,49,Dallas,32.820061,-96.860117
5/1/2020,4,11.6,48,Dallas,32.820061,-96.860117
5/2/2020,4,13.7,54,Dallas,32.820061,-96.860117
5/3/2020,4,12.7,52,Dallas,32.820061,-96.860117
5/4/2020,4,14.2,55,Dallas,32.820061,-96.860117
5/5/2020,4,10.1,42,Dallas,32.820061,-96.860117
5/8/2020,4,9.5,40,Dallas,32.820061,-96.860117
5/9/2020,4,10.8,45,Dallas,32.820061,-96.860117
5/10/2020,4,13.1,53,Dallas,32.820061,-96.860117
5/11/2020,4,11.7,49,Dallas,32.820061,-96.860117
5/12/2020,4,14.2,55,Dallas,32.820061,-96.860117
5/13/2020,4,9.4,39,Dallas,32.820061,-96.860117
5/14/2020,4,11.5,48,Dallas,32.820061,-96.860117
5/15/2020,4,10.2,43,Dallas,32.820061,-96.860117
5/16/2020,4,6.6,28,Dallas,32.820061,-96.860117
5/17/2020,4,8.8,37,Dallas,32.820061,-96.860117
5/18/2020,4,14.7,56,Dallas,32.820061,-96.860117
5/19/2020,4,11.9,50,Dallas,32.820061,-96.860117
5/20/2020,4,14.2,55,Dallas,32.820061,-96.860117
5/21/2020,4,19.5,67,Dallas,32.820061,-96.860117
5/22/2020,4,16.2,60,Dallas,32.820061,-96.860117
5/23/2020,4,9.9,41,Dallas,32.820061,-96.860117
5/24/2020,4,9.7,40,Dallas,32.820061,-96.860117
5/25/2020,4,6.4,27,Dallas,32.820061,-96.860117
5/26/2020,4,7.3,30,Dallas,32.820061,-96.860117
5/27/2020,4,11.8,49,Dallas,32.820061,-96.860117
5/28/2020,4,10.4,43,Dallas,32.820061,-96.860117
5/29/2020,4,9.3,39,Dallas,32.820061,-96.860117
5/30/2020,4,11.4,48,Dallas,32.820061,-96.860117
5/31/2020,4,14.2,55,Dallas,32.820061,-96.860117
6/1/2020,4,16.5,60,Dallas,32.820061,-96.860117
6/2/2020,4,24.6,77,Dallas,32.820061,-96.860117
6/3/2020,4,16,59,Dallas,32.820061,-96.860117
6/4/2020,4,9.7,40,Dallas,32.820061,-96.860117
6/5/2020,4,11.6,48,Dallas,32.820061,-96.860117
6/6/2020,4,14.2,55,Dallas,32.820061,-96.860117
6/7/2020,4,12.6,52,Dallas,32.820061,-96.860117
6/8/2020,4,12.3,51,Dallas,32.820061,-96.860117
6/9/2020,4,16.9,61,Dallas,32.820061,-96.860117
6/11/2020,4,4.6,19,Dallas,32.820061,-96.860117
6/12/2020,4,5.1,21,Dallas,32.820061,-96.860117
6/13/2020,4,4.6,19,Dallas,32.820061,-96.860117
6/14/2020,4,5.2,22,Dallas,32.820061,-96.860117
6/15/2020,4,6.7,28,Dallas,32.820061,-96.860117
6/16/2020,4,9.2,38,Dallas,32.820061,-96.860117
6/17/2020,4,5.1,21,Dallas,32.820061,-96.860117
6/18/2020,4,7.3,30,Dallas,32.820061,-96.860117
6/19/2020,4,5.3,22,Dallas,32.820061,-96.860117
6/20/2020,4,0.7,3,Dallas,32.820061,-96.860117
6/21/2020,4,-0.7,0,Dallas,32.820061,-96.860117
6/22/2020,4,0.7,3,Dallas,32.820061,-96.860117
6/23/2020,4,-0.1,0,Dallas,32.820061,-96.860117
6/24/2020,4,2.1,9,Dallas,32.820061,-96.860117
6/25/2020,4,3.8,16,Dallas,32.820061,-96.860117
6/26/2020,4,20.7,69,Dallas,32.820061,-96.860117
6/27/2020,4,45.9,127,Dallas,32.820061,-96.860117
6/28/2020,4,17.4,62,Dallas,32.820061,-96.860117
6/29/2020,4,10.5,44,Dallas,32.820061,-96.860117
6/30/2020,4,18.9,65,Dallas,32.820061,-96.860117
7/1/2020,4,16.9,61,Dallas,32.820061,-96.860117
7/2/2020,4,15.5,58,Dallas,32.820061,-96.860117
7/3/2020,4,20.8,69,Dallas,32.820061,-96.860117
7/4/2020,4,18,63,Dallas,32.820061,-96.860117
7/5/2020,4,16.8,61,Dallas,32.820061,-96.860117
7/6/2020,4,3.2,13,Dallas,32.820061,-96.860117
7/7/2020,4,3.1,13,Dallas,32.820061,-96.860117
7/8/2020,4,12.7,52,Dallas,32.820061,-96.860117
7/9/2020,4,16.5,60,Dallas,32.820061,-96.860117
7/10/2020,4,8.3,35,Dallas,32.820061,-96.860117
7/11/2020,4,5.4,23,Dallas,32.820061,-96.860117
7/12/2020,4,5.7,24,Dallas,32.820061,-96.860117
7/13/2020,4,7.6,32,Dallas,32.820061,-96.860117
7/14/2020,4,13.8,55,Dallas,32.820061,-96.860117
7/15/2020,4,13.2,53,Dallas,32.820061,-96.860117
